rteno,BCR,obs_species_2010,est_species_2010,obs_species_2011,est_species_2011,obs_species_2012,est_species_2012,obs_species_2013,est_species_2013,obs_species_2014,est_species_2014
64009,11,75,116,69,101,66,112,67,85,68,94
64010,11,63,74,57,62,63,88,62,91,64,88
64011,11,87,104,78,82,84,122,84,95,83,95
64012,11,76,92,70,82,74,80,71,75,70,79
64013,11,44,59,46,57,44,82,38,63,43,70
64014,11,49,71,44,50,48,64,45,55,41,54
64016,11,50,63,52,62,46,51,47,57,56,75
64017,11,,,,,,,60,101,58,72
64018,11,38,59,58,68,57,83,61,72,59,80
64019,11,54,75,55,61,59,71,72,82,68,80
64021,17,44,55,34,40,,,63,101,54,61
64022,17,51,67,59,68,54,69,59,74,63,81
64023,11,50,61,47,58,50,61,55,103,49,66
64024,11,54,62,52,66,45,65,51,69,47,68
64025,17,,,,,,,51,66,,
64026,17,,,51,72,58,71,61,74,,
64027,11,52,90,42,55,52,68,,,,
64028,11,86,111,87,103,75,90,91,113,84,100
64030,17,48,94,,,,,,,61,85
64031,17,,,44,54,,,42,69,,
64032,17,51,67,48,62,,,55,72,,
64033,17,51,64,50,60,51,80,50,77,52,68
64034,17,42,57,48,67,43,53,45,59,,
64035,17,,,44,69,,,32,47,,
64036,17,,,54,74,52,62,55,93,48,60
64037,17,43,64,50,64,46,59,53,68,56,78
64038,11,48,75,,,65,72,62,91,63,68
64039,11,52,75,48,53,64,80,54,59,60,68
64040,11,50,61,,,,,51,60,,
64041,11,65,77,76,101,70,95,74,84,,
64042,11,86,102,86,113,78,92,79,88,85,99
64043,11,64,76,67,103,69,91,64,109,77,122
64044,11,83,110,85,102,75,86,69,78,69,100
64103,11,55,81,57,62,55,65,56,86,63,75
64115,11,70,78,67,97,64,78,67,79,67,80
64120,17,,,56,93,50,85,50,63,50,57
64127,11,,,,,,,52,92,50,74
64129,17,47,61,46,56,47,61,53,68,45,75
66001,22,49,81,,,,,,,,
66002,22,46,61,53,84,56,71,,,46,69
66003,22,57,80,49,61,48,54,45,64,48,58
66005,22,62,65,63,71,62,70,66,73,66,77
66006,22,37,42,44,73,42,58,47,60,43,60
66008,22,41,49,49,56,53,72,47,78,47,55
66011,13,69,77,73,92,72,81,70,83,72,81
66015,13,63,103,51,61,49,60,46,57,53,76
66017,13,45,66,48,56,48,66,46,55,43,56
66021,13,55,66,65,100,57,65,59,86,58,83
66022,13,51,76,55,63,50,60,54,78,51,59
66024,22,48,62,50,59,48,64,51,83,54,82
66025,22,45,53,50,64,55,81,46,60,45,55
66027,22,36,44,,,39,49,,,,
66031,22,,,41,54,51,60,50,60,47,59
66032,22,,,,,,,39,52,46,63
66033,22,47,58,,,,,64,81,,
66034,22,32,36,,,,,,,,
66035,22,37,43,40,62,41,47,42,56,40,47
66039,13,60,93,56,67,52,64,56,73,53,60
66040,13,55,64,61,70,57,78,63,77,57,74
66042,22,48,58,67,91,62,71,61,75,60,73
66043,28,,,,,57,80,56,66,56,78
66046,28,69,80,74,86,,,54,67,52,78
66047,13,49,77,,,39,60,,,,
66049,28,79,103,80,90,79,89,77,86,72,77
66056,28,,,,,55,67,47,56,44,73
66058,22,53,62,,,60,82,,,,
66060,22,48,62,49,67,,,,,,
66064,22,56,73,57,72,50,72,51,70,49,63
66067,22,31,43,41,51,36,55,39,70,39,76
66072,28,52,59,55,81,54,70,61,100,69,95
66073,28,52,57,62,96,55,60,63,84,,
66074,28,75,82,74,86,75,89,78,107,72,86
66075,13,61,73,60,70,62,69,64,76,64,95
66076,28,56,67,52,57,54,59,,,,
66080,28,46,52,43,54,54,92,48,69,,
66082,28,52,59,55,66,57,66,,,,
66083,28,41,48,47,59,46,59,43,56,59,74
66085,22,64,76,,,60,68,57,60,62,74
66086,24,68,76,74,89,71,83,72,89,69,86
66087,28,60,70,62,80,63,81,60,86,58,68
66107,22,51,71,43,51,49,72,49,79,47,57
66112,22,51,65,,,54,75,,,,
66113,22,60,74,52,62,,,56,69,56,63
66116,13,60,86,58,66,56,64,62,72,65,78
66118,13,,,,,49,56,46,79,49,68
66126,22,40,62,,,,,,,,
66141,22,48,69,56,82,52,61,51,72,,
66148,28,68,76,66,76,69,99,63,73,61,67
66150,28,54,63,52,65,57,67,52,60,52,69
66157,13,46,65,,,,,,,,
66159,22,,,,,,,51,62,51,61
66161,22,64,89,,,57,63,,,,
66165,22,45,55,43,75,43,74,40,49,40,64
66166,22,42,55,47,72,50,64,,,,
66168,22,55,63,61,75,61,91,57,80,58,91
66181,28,68,74,67,79,68,79,68,97,65,86
66188,28,,,,,,,,,50,59
66251,28,50,71,,,52,62,,,,
67001,25,59,74,55,76,58,68,68,94,58,102
67005,21,56,63,61,74,56,82,56,72,53,60
67010,19,47,55,,,,,41,45,,
67011,24,52,67,58,75,57,85,62,82,51,64
67012,25,,,50,64,57,81,47,55,,
67014,21,69,114,72,117,66,79,,,61,80
67015,21,51,56,56,69,57,76,50,64,53,63
67017,21,58,71,58,78,47,68,46,80,53,70
67018,19,,,,,,,43,74,,
67019,19,38,48,,,,,,,,
67020,19,50,57,52,58,49,59,52,63,52,62
67021,19,53,60,61,77,,,45,55,54,66
67022,22,56,71,60,82,52,59,53,62,57,74
67023,22,58,78,49,60,52,74,43,51,53,71
67024,22,47,73,49,59,49,74,56,75,,
67026,21,50,63,52,67,53,69,,,,
67027,19,51,68,42,69,49,78,49,71,49,61
67028,19,,,,,,,32,38,,
67030,19,42,66,35,38,,,,,,
67031,19,44,59,46,59,,,,,,
67032,19,36,44,36,56,,,,,,
67034,18,33,41,31,52,30,36,38,63,34,42
67035,19,,,,,,,36,44,,
67050,25,57,89,61,82,58,95,59,90,56,69
67051,25,65,73,65,80,62,75,59,69,,
67054,21,48,67,49,70,44,50,43,51,49,63
67055,19,47,85,,,42,52,45,68,47,75
67056,19,,,,,,,57,69,52,62
67058,22,44,49,43,51,41,67,48,52,,
67059,21,,,56,70,,,,,49,67
67060,19,,,,,43,52,39,50,,
67061,19,59,78,50,81,50,79,49,66,56,72
67062,19,38,44,39,47,38,45,40,54,35,56
67063,24,57,83,55,86,50,60,,,,
67064,22,49,64,52,62,51,60,50,60,54,78
67065,22,35,59,34,58,28,35,32,37,31,37
67066,19,,,,,,,33,54,,
67067,19,62,75,60,77,50,59,62,99,56,73
67068,19,51,57,54,66,53,63,62,82,49,59
67069,18,38,54,44,59,34,39,38,63,37,44
67070,18,27,43,26,53,31,49,32,39,26,29
67071,18,32,40,25,30,19,20,26,28,25,31
67103,25,63,102,61,78,56,91,56,69,58,72
67106,21,53,60,,,,,43,73,36,44
67125,21,53,65,47,57,50,62,46,72,47,57
67129,19,,,,,51,86,54,97,51,67
69001,5,42,51,42,49,40,48,41,68,38,48
69002,5,,,49,57,50,80,44,71,49,72
69003,5,38,43,40,57,39,49,37,47,42,68
69006,10,,,,,,,58,77,55,74
69008,9,36,44,40,54,31,38,39,68,33,46
69009,5,43,49,49,80,44,52,40,52,39,45
69010,5,37,57,,,,,38,49,,
69011,9,46,65,44,63,43,52,53,81,45,54
69013,10,41,48,24,32,,,21,27,24,32
69014,10,38,69,28,36,,,18,25,25,38
69015,10,52,63,55,69,51,58,52,61,,
69018,5,,,,,62,84,59,65,63,72
69019,5,54,67,57,82,50,77,54,88,57,76
69021,9,37,60,40,81,32,50,29,39,32,62
69022,9,27,38,26,39,27,41,26,44,23,32
69023,9,32,36,38,58,32,40,37,56,35,47
69024,9,21,26,,,,,,,,
69026,5,52,96,52,74,57,83,61,96,61,112
69028,9,80,117,60,75,,,,,85,132
69029,9,49,64,,,47,61,45,76,42,52
69033,5,57,73,56,90,62,108,53,75,,
69034,5,47,63,53,72,49,58,48,57,,
69035,9,46,63,44,55,43,84,50,84,44,56
69040,5,44,48,48,65,47,56,49,56,,
69041,5,41,51,44,53,49,60,51,62,51,57
69043,9,,,56,67,63,87,65,88,63,83
69046,9,49,59,,,43,51,46,55,45,53
69048,10,55,99,57,83,58,111,58,109,,
69050,5,55,88,54,89,,,,,,
69051,5,45,84,48,77,49,79,49,82,,
69052,9,37,48,48,60,49,68,48,69,48,61
69054,10,56,102,,,,,,,,
69056,9,48,70,,,,,,,,
69057,5,55,92,50,80,52,73,47,65,53,79
69058,5,52,80,,,,,,,,
69061,9,49,93,52,98,,,40,71,,
69062,9,,,,,,,70,92,77,127
69117,5,56,79,63,75,61,91,63,83,62,73
69127,5,58,68,58,71,62,75,64,75,56,63
69130,9,,,,,32,36,28,34,29,42
69136,10,67,92,58,82,68,99,66,93,65,113
69142,5,59,73,66,79,62,84,56,70,58,75
69147,9,41,54,40,51,41,51,36,45,,
69159,5,56,72,55,96,55,74,54,73,51,72
69160,9,70,107,70,106,72,122,67,93,76,140
69201,5,,,41,66,29,31,38,44,35,41
69202,5,46,66,47,56,48,57,50,70,52,86
69203,9,46,70,51,70,48,56,50,74,51,71
69204,9,34,45,,,32,39,,,27,45
69207,10,43,61,45,84,32,58,44,83,44,84
69210,5,,,,,36,44,40,48,36,46
69211,10,45,67,50,66,46,56,42,69,46,51
69212,10,46,71,42,74,37,50,,,37,50
69213,10,51,94,47,88,50,76,47,66,49,87
69215,10,,,50,66,54,88,54,78,57,101
69217,5,63,75,,,63,87,64,103,63,77
69219,5,,,,,49,79,41,47,42,50
69225,5,44,54,41,66,,,,,,
69226,5,48,66,47,78,42,57,,,,
69227,5,32,34,33,41,31,36,,,,
69228,9,,,,,52,95,47,68,,
69229,9,53,67,50,60,61,84,51,82,54,77
69230,9,57,82,,,,,60,98,44,79
69231,9,,,,,66,122,62,88,63,115
69233,5,51,64,53,64,50,58,50,83,53,61
69237,5,56,64,58,82,56,64,62,103,54,68
69238,9,50,71,47,61,51,67,44,65,44,82
69240,10,37,67,41,56,41,78,37,58,39,71
69243,5,50,65,36,47,55,69,54,62,58,68
69244,5,50,74,,,43,64,45,58,,
69245,9,39,42,43,61,37,42,36,40,,
69248,10,,,,,,,,,40,46
69249,9,,,,,46,62,45,68,53,102
69250,5,46,63,,,,,,,,
69251,5,52,63,51,61,52,69,50,71,50,61
69252,9,68,124,65,91,67,98,59,92,60,88
69253,9,66,76,61,71,59,88,61,89,61,71
69254,9,37,49,39,53,,,29,37,37,56
69256,9,,,36,82,31,63,22,38,22,47
69336,5,46,65,,,,,,,,
69339,10,36,62,43,73,49,65,35,53,33,56
69409,5,,,,,39,49,,,,
72002,13,67,79,63,75,66,100,70,96,66,92
72003,13,61,82,60,95,55,60,62,90,55,84
72004,13,59,66,61,70,57,69,59,65,66,79
72005,13,70,86,63,91,59,69,60,84,62,78
72006,28,60,83,59,74,65,86,64,75,63,89
72008,13,69,84,66,93,73,96,68,83,58,65
72009,28,63,96,66,102,64,80,61,82,71,88
72010,28,61,73,61,96,56,79,58,70,55,91
72011,28,,,,,,,67,107,59,76
72012,28,62,75,66,83,63,100,64,79,58,81
72013,28,51,64,55,67,50,64,54,83,56,83
72014,28,55,64,47,60,49,61,55,93,39,46
72015,28,62,76,73,108,64,78,68,90,64,87
72016,28,61,83,52,66,55,84,59,76,54,85
72017,28,57,79,53,64,57,79,58,85,56,68
72018,28,78,105,,,,,72,79,67,99
72019,28,,,81,109,81,126,76,88,70,88
72020,28,62,85,63,76,59,70,63,105,57,81
72021,28,54,60,59,96,58,78,64,99,60,69
72022,28,74,91,71,86,78,95,74,91,,
72023,28,63,79,55,89,54,61,54,66,50,59
72024,28,,,71,122,,,74,113,75,96
72025,28,70,99,65,98,60,69,67,101,68,112
72028,28,61,73,54,66,62,84,61,75,58,69
72029,28,78,123,73,104,83,124,74,109,75,88
72030,28,61,74,60,71,61,74,59,67,60,72
72031,28,69,80,68,88,72,107,62,101,63,68
72033,28,75,109,67,90,71,100,73,108,71,95
72034,28,79,121,73,96,77,95,74,90,71,87
72035,28,83,98,80,96,81,99,80,96,85,119
72036,28,60,83,65,101,56,63,65,77,56,72
72037,28,,,48,58,50,80,61,96,62,76
72038,28,59,84,,,54,63,,,54,64
72039,28,71,87,72,99,65,75,68,95,68,93
72041,28,73,96,73,91,69,99,,,74,119
72042,28,55,86,51,61,,,72,111,76,100
72043,28,80,93,67,79,,,75,92,,
72044,28,58,87,60,74,60,97,64,83,,
72046,13,59,70,64,84,59,82,62,86,60,81
72047,28,50,55,59,78,60,80,56,62,58,66
72048,28,60,70,57,63,60,64,57,62,64,76
72049,28,61,70,73,89,72,81,68,80,66,83
72050,28,69,83,70,88,72,96,66,75,66,84
72052,28,49,65,55,76,57,67,51,57,53,69
72053,28,61,74,61,86,62,77,64,78,55,84
72054,28,66,85,67,78,66,76,64,80,66,80
72056,28,74,108,74,90,70,93,63,81,61,69
72057,28,64,77,61,71,59,84,63,81,59,88
72058,28,64,87,59,67,65,80,64,77,59,83
72059,28,68,81,69,104,66,80,65,100,66,110
72060,28,65,84,58,81,65,95,55,74,44,48
72061,28,57,79,58,72,57,89,62,77,65,92
72062,28,61,94,53,60,63,86,65,78,63,81
72063,28,,,57,88,53,85,54,73,53,72
72064,28,65,80,66,105,55,65,60,72,61,73
72067,28,64,80,65,82,64,99,65,91,63,90
72068,28,62,75,64,77,60,76,66,88,61,93
72069,28,,,61,76,56,64,64,89,63,92
72070,28,60,77,54,64,59,76,56,63,58,79
72071,28,60,81,64,101,59,70,62,106,60,77
72072,28,63,100,63,85,61,83,74,92,61,66
72076,28,53,77,53,67,52,68,,,54,70
72079,28,70,99,70,90,66,87,64,81,63,105
72083,28,66,79,62,109,58,71,62,78,59,96
72084,29,42,47,48,61,51,61,49,61,48,77
72085,28,52,57,56,70,53,63,56,86,58,93
72086,28,46,61,48,58,45,52,48,75,40,46
72088,28,66,82,63,72,65,72,,,69,85
72090,28,52,81,55,71,58,86,64,84,55,80
72091,28,58,99,48,62,57,89,57,77,54,71
72097,29,,,,,,,55,62,56,74
72101,13,,,79,126,75,90,67,86,69,85
72107,13,66,78,67,96,68,80,62,90,67,77
72126,28,62,72,60,69,61,75,69,97,56,62
72127,28,49,62,49,64,53,64,53,69,47,55
72132,28,82,132,74,90,68,112,73,94,73,106
72137,28,49,62,,,,,,,,
72145,28,56,78,59,68,,,,,,
72151,28,46,51,51,72,57,67,52,85,53,66
72155,28,63,82,64,87,68,102,60,70,57,85
72165,28,75,107,71,98,68,85,69,84,73,97
72166,28,56,63,56,62,60,70,59,70,60,65
72173,28,49,70,57,71,46,56,57,68,55,65
72174,29,50,58,51,58,54,68,54,66,51,73
72177,29,44,54,43,70,37,49,41,47,61,81
72178,28,66,88,63,78,68,83,62,77,65,81
72180,28,65,79,66,79,66,86,70,110,63,80
72181,29,46,54,47,58,53,67,51,81,53,65
72182,29,39,51,38,45,43,52,36,40,38,42
72187,28,61,75,,,58,69,58,68,56,61
72189,28,66,81,61,75,66,81,61,77,61,75
72192,28,63,68,69,77,69,79,69,98,72,97
72193,29,61,67,61,66,62,68,65,84,65,75
72194,28,40,46,43,59,45,77,45,57,47,71
72195,29,49,65,55,67,51,79,56,89,49,59
72196,29,59,78,53,73,61,98,59,92,59,67
72198,29,56,94,50,79,,,52,60,,
72275,29,35,66,28,48,30,34,43,52,45,62
77004,30,58,68,,,55,69,48,59,52,64
80002,27,34,35,44,52,47,57,40,50,42,49
80003,27,61,79,52,60,53,64,58,86,52,59
80004,27,47,50,46,51,54,73,,,,
80005,27,60,93,,,,,,,,
80006,27,47,55,44,74,47,56,47,52,48,60
80008,27,47,67,45,61,,,,,,
80009,27,54,62,,,53,73,,,,
80010,27,50,55,50,66,51,61,51,61,49,56
80011,27,47,58,50,72,45,60,41,50,45,52
80015,29,,,52,65,58,69,58,84,59,71
80018,29,66,77,62,71,60,71,57,64,64,75
80021,29,58,66,65,88,61,71,64,88,68,93
80023,27,53,68,,,,,,,,
80025,29,47,54,48,52,50,55,49,56,,
80026,29,59,88,,,,,,,,
80027,27,46,79,,,,,,,,
80028,27,43,49,,,,,,,,
80030,29,61,92,59,73,56,68,54,72,58,82
80031,29,59,63,60,64,59,63,60,64,65,77
80050,29,59,94,57,65,62,77,49,60,,
80051,29,54,67,56,85,57,84,51,62,59,100
80053,27,57,85,52,80,56,66,53,62,54,61
80054,27,55,68,53,57,60,91,58,68,53,68
80055,27,57,69,53,65,48,59,53,71,49,83
80056,27,,,,,,,,,52,82
80057,27,48,50,48,54,47,54,,,,
80058,27,54,64,50,55,47,56,48,55,53,80
80059,27,53,67,58,71,49,59,61,94,53,62
80101,27,59,68,50,76,55,66,57,98,51,61
80112,29,40,49,,,43,51,46,57,48,54
80114,29,53,71,54,58,53,67,,,51,59
80116,29,49,61,34,50,,,31,46,,
80117,29,46,65,41,49,43,48,49,68,43,72
80119,29,54,64,55,61,51,66,,,,
80220,28,,,,,,,,,66,92
81001,11,40,55,45,75,40,64,44,51,42,74
81002,11,46,58,42,58,27,33,43,53,51,72
81003,11,48,57,42,50,52,59,45,77,48,77
81004,11,58,69,62,71,,,,,,
81005,11,,,,,48,57,39,52,44,53
81006,17,61,91,67,113,,,,,,
81007,11,51,86,49,62,50,79,48,81,45,58
81008,17,42,49,40,46,,,,,,
81009,17,25,33,,,28,57,30,38,28,40
81010,11,55,71,53,63,58,82,54,73,52,61
81011,11,51,54,57,64,61,75,61,73,62,81
81012,11,43,48,37,46,45,53,,,50,64
81013,11,,,,,55,73,44,50,39,59
81015,11,61,80,59,69,,,,,,
81016,17,,,48,88,,,,,,
81017,11,63,98,62,71,61,79,60,71,63,89
81018,11,55,69,56,91,58,87,59,71,61,70
81019,11,53,80,57,66,62,71,61,77,55,64
81020,11,,,57,84,55,82,,,,
81022,11,46,51,,,40,56,38,42,43,57
81023,11,66,79,58,66,68,97,50,76,63,101
81024,17,,,42,54,,,30,36,,
81025,17,,,45,55,47,63,35,50,,
81026,17,34,62,40,74,35,54,34,44,36,62
81028,17,34,60,38,68,36,47,33,40,27,31
81029,17,47,59,49,62,48,62,55,72,49,63
81030,17,27,33,29,47,23,24,26,31,28,31
81031,17,33,60,33,43,31,39,29,48,37,60
81032,17,30,37,32,45,26,34,32,38,29,35
81033,17,,,31,43,32,53,35,55,35,47
81034,11,43,48,,,,,,,,
81035,17,45,54,39,50,41,50,42,66,40,73
81036,17,48,77,49,93,48,64,50,73,54,94
81037,17,36,61,35,45,32,44,36,53,41,57
81038,17,,,35,43,34,38,30,35,,
81039,17,,,35,43,,,38,49,,
81040,17,,,,,35,57,24,38,,
81041,17,26,45,30,40,21,23,30,49,31,41
81042,17,37,51,41,62,50,93,45,85,50,61
81043,17,30,66,,,34,43,27,36,35,64
81044,17,,,,,,,41,50,45,60
81045,17,,,,,,,38,54,,
81046,17,,,,,,,,,36,52
81047,17,41,50,43,59,,,52,89,,
81048,17,,,,,37,45,38,64,36,47
81049,17,,,51,74,,,,,,
81050,17,40,47,42,52,40,49,41,70,45,66
81114,11,57,67,,,47,55,49,76,49,63
81121,11,49,54,,,,,,,,
81127,17,,,,,48,69,,,,
81704,17,50,61,50,69,51,63,47,54,46,56
81705,17,48,57,43,47,52,65,52,63,48,57
81706,17,44,68,40,46,45,57,41,66,42,52
82001,27,76,92,71,108,75,101,73,104,72,90
82002,26,57,69,,,51,82,,,,
82003,27,53,61,53,60,57,80,54,59,48,61
82004,27,54,60,55,61,50,55,44,46,49,53
82006,27,62,72,62,75,61,75,62,71,60,74
82007,24,,,,,,,,,74,88
82008,27,70,95,,,,,71,87,75,101
82009,27,58,64,59,68,52,57,50,55,57,77
82010,27,52,60,52,58,54,69,52,68,54,82
82011,27,56,68,54,72,,,,,,
82012,27,41,72,,,26,49,,,,
82013,24,61,75,64,75,61,69,58,66,61,71
82015,24,69,82,74,95,70,78,69,83,74,104
82016,24,72,83,72,83,76,99,71,104,73,88
82017,24,70,79,62,66,70,90,71,83,67,96
82018,24,70,78,65,77,62,68,61,75,,
82019,24,55,62,,,59,69,56,68,53,69
82020,24,62,77,57,86,51,61,54,61,56,69
82021,24,56,61,61,94,60,70,60,76,,
82022,24,54,59,57,69,57,68,50,58,56,74
82023,24,63,74,61,74,64,89,59,72,67,90
82024,24,,,,,,,,,59,71
82025,24,72,107,65,73,71,80,69,86,71,77
82026,24,70,93,66,74,72,84,73,79,70,80
82027,24,65,82,65,90,62,90,66,87,60,70
82029,28,65,69,66,92,67,76,67,75,67,71
82031,28,,,62,80,58,71,,,56,69
82032,28,,,67,86,64,91,,,57,69
82033,28,,,46,71,,,,,47,67
82034,28,65,77,69,89,63,72,60,69,61,75
82038,28,,,54,65,,,,,,
82040,28,54,68,46,53,51,58,52,81,54,64
82041,28,62,68,61,78,61,75,60,67,60,72
82042,28,52,64,54,64,59,76,56,75,54,68
82114,24,64,71,60,64,59,69,67,78,63,70
82128,28,56,70,65,96,54,63,62,89,64,76
82130,28,59,68,60,76,61,70,61,70,61,72
82135,28,43,59,47,57,45,76,49,73,,
82139,28,67,85,60,71,61,86,63,77,62,75
82202,27,,,,,,,62,96,55,69
83001,37,49,64,50,76,63,87,58,77,,
83002,36,45,47,50,55,50,59,51,63,50,61
83003,36,53,65,51,56,52,69,49,62,52,61
83005,37,46,71,47,57,34,44,40,48,,
83006,36,,,,,30,46,30,40,29,51
83007,36,,,48,57,40,51,45,58,38,51
83008,36,38,68,,,45,62,,,38,54
83009,36,56,75,,,,,,,,
83011,37,45,55,50,65,53,76,41,68,47,57
83013,37,63,79,,,46,84,41,71,54,99
83015,21,51,69,49,56,50,64,51,88,45,59
83016,36,60,86,54,82,48,62,,,58,70
83017,21,66,94,65,92,65,101,60,97,58,102
83018,36,56,86,,,,,,,,
83019,36,40,44,,,,,,,,
83020,37,35,46,51,59,48,57,54,85,49,55
83021,37,40,55,42,78,37,50,33,47,,
83022,37,52,66,57,79,55,78,57,70,49,71
83023,37,43,59,44,55,52,65,49,63,50,64
83024,21,42,57,39,47,34,43,45,69,44,55
83025,37,49,90,41,54,46,51,42,71,40,50
83026,21,42,66,42,51,44,57,43,51,46,62
83027,21,37,48,45,64,,,,,36,44
83028,20,39,46,33,38,,,,,,
83029,21,,,45,55,43,56,42,48,36,55
83030,36,57,66,,,57,66,50,56,51,64
83031,20,,,,,52,68,,,54,85
83032,25,53,91,,,,,32,40,,
83033,25,37,43,42,58,53,84,42,62,41,52
83034,25,38,59,31,40,37,46,,,37,62
83041,20,43,53,44,48,44,60,44,65,43,58
83042,20,48,61,41,48,44,60,38,46,46,52
83043,20,40,57,43,72,41,62,,,38,45
83044,25,46,59,,,47,87,40,48,38,44
83045,25,52,61,,,43,51,52,62,48,57
83046,21,,,54,85,60,106,58,91,58,68
83048,21,37,69,32,45,39,55,,,35,44
83050,20,,,,,,,44,86,41,48
83051,20,47,69,29,38,37,46,31,42,26,40
83052,20,41,62,42,56,47,58,43,73,45,60
83053,20,40,49,47,84,42,56,40,60,46,56
83054,19,50,61,47,61,44,51,52,71,55,64
83055,19,49,58,37,50,34,61,40,72,43,52
83056,25,49,67,,,47,58,,,,
83057,25,,,61,72,69,108,63,81,64,94
83058,25,52,61,55,66,47,57,48,57,,
83060,21,50,62,44,50,30,36,35,39,37,44
83061,21,,,,,41,52,41,49,45,55
83062,21,,,,,46,52,48,54,40,46
83063,21,42,49,42,55,44,52,46,76,51,96
83064,21,43,51,46,74,45,60,44,53,39,47
83065,21,33,63,,,51,62,52,69,43,51
83066,21,,,43,57,40,47,43,57,48,68
83067,21,44,57,31,35,30,36,35,38,37,54
83068,25,53,65,55,68,55,62,53,80,50,63
83069,25,45,58,44,65,31,39,46,70,40,52
83070,21,,,44,51,43,56,42,45,42,72
83071,25,50,71,52,79,43,61,,,51,85
83072,21,47,51,54,77,55,69,51,61,57,76
83074,21,39,43,41,47,42,58,41,65,,
83075,21,52,80,55,67,47,54,48,58,44,51
83076,21,51,63,47,56,46,53,46,54,45,75
83078,19,37,50,28,30,,,,,,
83081,35,46,61,47,69,43,50,29,37,,
83082,35,29,33,29,53,29,57,26,38,26,44
83083,35,35,55,30,45,,,35,43,39,53
83085,19,41,57,37,55,,,,,31,55
83086,18,33,57,25,30,,,,,,
83087,35,48,60,,,45,57,42,52,47,52
83088,35,35,47,39,66,32,38,30,35,34,39
83090,35,,,26,50,,,21,26,,
83092,18,62,102,51,92,53,89,51,62,49,71
83093,18,,,,,23,29,23,25,28,34
83094,18,34,63,23,24,32,39,36,59,37,57
83095,19,30,36,36,52,32,42,30,57,,
83096,19,,,,,33,39,31,36,35,41
83097,18,37,59,35,50,40,71,32,41,36,47
83098,36,40,68,,,,,,,41,51
83099,35,,,,,,,,,32,38
83100,18,31,39,,,,,29,35,,
83102,18,26,29,30,38,,,,,,
83103,18,23,26,,,,,,,,
83104,19,29,36,,,,,,,,
83105,18,,,,,,,25,40,20,27
83106,18,41,46,46,62,27,35,,,38,48
83107,19,39,49,41,57,54,65,,,,
83108,18,29,38,25,26,23,25,26,38,22,26
83109,19,,,28,32,,,,,,
83111,35,,,35,43,35,44,,,,
83112,35,,,,,,,,,37,53
83113,19,43,48,,,38,40,,,54,59
83115,36,51,67,48,56,53,63,52,68,47,55
83118,36,,,58,68,,,51,59,50,71
83135,21,42,51,48,67,49,78,49,67,52,66
83136,21,44,50,55,68,49,60,54,76,51,64
83139,21,40,45,46,56,54,70,,,51,57
83140,20,45,50,44,51,49,65,55,68,51,61
83141,21,,,,,31,34,33,56,34,42
83147,21,48,66,44,72,43,78,37,50,45,63
83149,21,42,55,,,,,,,,
83159,25,53,63,,,51,61,53,67,51,65
83179,19,31,41,34,59,27,50,,,,
83184,35,,,38,47,38,59,40,45,34,41
83189,35,39,51,37,47,44,52,34,38,30,38
83204,36,53,63,45,55,55,91,51,65,,
83209,36,,,60,95,57,72,53,67,58,92
83214,21,50,67,,,,,,,30,34
83237,21,36,43,,,,,,,,
83273,21,49,66,50,66,42,47,44,48,42,65
83301,36,29,39,35,44,,,,,,
83303,36,57,69,49,57,54,84,57,76,56,69
83304,36,44,64,53,89,46,52,46,78,54,76
83305,37,40,75,,,44,72,50,89,46,77
83306,37,51,91,,,,,,,41,58
83308,21,46,57,49,57,44,52,48,86,54,66
83309,36,52,65,,,52,58,,,,
83311,37,49,86,57,74,59,95,57,74,55,70
83312,37,45,67,47,66,,,,,,
83313,21,44,56,,,,,,,,
83314,21,38,46,,,42,51,39,48,33,48
83315,21,52,66,,,60,89,58,68,56,81
83317,20,67,85,69,80,69,89,53,66,50,62
83319,35,34,47,29,59,32,47,27,37,37,43
83320,35,46,59,45,73,39,49,38,48,35,43
83322,25,,,52,67,47,63,46,65,,
83323,21,39,45,34,40,44,52,41,47,43,47
83324,21,42,51,42,53,45,57,38,49,38,52
83325,20,,,44,65,,,65,77,63,72
83326,20,43,66,44,49,47,57,46,55,45,55
83328,35,,,49,73,,,,,,
83329,35,,,35,51,34,39,31,49,34,40
83330,35,21,23,25,32,25,27,24,41,22,35
83331,35,35,62,35,43,38,44,30,39,34,48
83333,25,46,48,51,60,51,82,50,59,52,71
83334,25,45,61,32,48,34,41,33,39,30,39
83335,25,43,67,48,77,40,60,41,74,40,58
83336,21,51,63,,,51,60,29,32,42,64
83337,21,44,66,,,,,,,,
83340,19,35,45,,,28,30,29,37,25,38
83341,18,35,41,29,49,29,37,27,31,25,26
83343,18,25,34,29,52,20,21,22,23,,
83344,35,,,26,53,25,50,26,34,,
83345,35,42,68,30,34,34,49,36,61,40,66
83346,35,32,50,27,36,24,31,27,35,26,32
83348,25,54,66,59,98,55,79,58,77,,
83349,25,42,62,44,54,45,58,46,79,43,53
83350,21,44,46,59,70,57,75,59,86,61,91
83351,21,35,45,35,41,40,51,40,46,38,47
83352,21,47,57,46,57,45,54,50,69,46,59
83353,19,,,,,,,40,54,,
83354,19,37,54,40,52,,,34,56,30,36
83355,18,21,28,23,47,21,23,22,25,,
83356,18,27,29,27,28,29,32,30,39,29,32
83357,25,50,55,,,,,,,,
