rteno,BCR,obs_species_2010,est_species_2010,obs_species_2011,est_species_2011,obs_species_2012,est_species_2012,obs_species_2013,est_species_2013,obs_species_2014,est_species_2014
17453,16,48,61,48,69,53,85,50,67,48,68
18001,30,51,61,,,51,87,55,67,55,63
18003,30,44,54,41,64,53,87,57,81,54,67
18004,30,61,75,57,76,64,98,62,78,66,89
18006,30,,,53,63,49,62,,,,
18007,30,,,52,76,49,52,54,70,54,67
18008,30,,,69,83,50,58,53,62,49,55
18009,28,63,74,65,74,68,94,66,81,69,82
18010,30,38,59,,,,,,,43,58
18011,30,55,72,52,57,59,96,60,102,55,67
18014,30,55,66,60,71,62,80,64,80,66,96
18015,30,47,73,42,49,,,,,,
18102,14,55,69,56,83,53,74,55,73,58,90
18112,28,,,,,52,59,53,63,44,51
18116,30,,,58,75,62,83,66,74,75,95
21001,30,54,84,52,89,57,67,54,62,52,61
21002,30,55,65,50,69,51,80,53,64,50,69
21003,30,83,98,82,110,84,113,86,105,91,131
21004,30,49,55,42,48,56,90,56,67,57,75
21006,30,,,,,67,85,,,,
21010,30,50,91,50,60,52,73,53,64,62,79
21105,30,61,76,53,71,55,80,58,77,57,97
21109,30,57,77,59,76,59,80,54,68,52,60
25001,27,62,83,63,70,,,,,,
25002,27,32,40,36,55,,,,,,
25003,27,35,43,44,82,,,,,,
25004,27,57,64,61,66,,,,,40,48
25005,27,58,65,65,78,,,53,82,50,68
25006,27,42,48,39,42,,,40,51,32,52
25009,27,63,72,63,83,,,42,60,36,47
25010,27,49,63,45,64,47,61,44,52,40,47
25011,27,40,63,45,50,48,76,43,53,42,50
25012,27,53,87,53,68,,,,,,
25014,31,49,72,54,65,49,57,51,62,48,62
25015,27,40,58,47,62,52,87,47,73,50,68
25017,31,47,59,43,59,,,,,,
25018,31,30,37,33,43,27,33,28,35,36,47
25019,27,40,75,34,59,36,79,41,79,51,72
25020,31,52,68,41,50,40,48,43,63,43,51
25021,31,32,52,35,47,40,49,40,51,38,53
25022,31,48,71,41,62,41,60,42,77,38,54
25023,31,49,61,47,55,,,,,,
25024,31,30,58,30,36,29,39,29,39,32,43
25025,27,50,96,46,60,42,60,48,79,41,78
25026,31,44,56,,,,,,,,
25027,31,47,75,45,61,44,53,44,56,39,42
25028,31,37,64,31,37,32,40,39,62,35,43
25030,31,42,51,,,40,68,46,54,,
25031,31,38,52,29,39,39,57,42,51,32,43
25037,27,39,60,43,55,,,43,49,46,63
25052,27,55,68,54,68,,,,,,
25053,27,37,68,31,51,29,32,28,31,28,36
25054,27,51,59,52,62,52,81,48,57,53,84
25055,27,66,89,69,73,,,,,42,48
25056,27,49,73,54,65,49,55,48,66,52,75
25057,27,35,62,38,48,,,32,37,34,42
25060,27,,,49,59,55,62,53,66,50,60
25061,27,53,75,56,89,51,58,54,69,54,83
25062,27,42,54,59,81,57,83,57,105,52,76
25063,31,36,61,38,60,24,44,38,79,40,73
25064,31,34,63,32,62,38,67,38,49,,
25066,31,42,51,46,69,39,59,43,56,36,44
25067,31,49,60,45,81,49,79,49,74,41,49
25068,31,44,54,48,75,46,59,45,52,54,79
25069,31,37,53,42,53,,,42,47,44,66
25071,31,,,,,,,,,47,69
25073,31,39,49,40,48,42,57,45,60,42,69
25074,31,37,53,,,40,48,41,51,37,48
25077,31,,,26,31,,,,,,
25079,31,30,37,,,,,,,,
25081,31,42,73,40,55,36,44,40,47,38,55
25082,31,41,64,,,,,38,54,35,39
25084,27,57,86,47,72,51,84,54,99,48,86
25085,31,48,64,47,62,52,88,44,54,46,57
25086,31,45,73,37,48,39,49,37,43,35,54
25087,31,36,44,34,40,42,63,37,49,37,57
25107,27,59,62,60,71,,,,,,
25108,27,45,62,44,52,,,,,41,69
25113,31,47,53,51,80,47,61,54,76,46,66
25116,31,42,52,40,49,32,39,39,50,,
25117,31,,,,,48,70,48,54,47,63
25123,31,,,,,45,55,48,67,47,62
25129,31,41,71,36,49,49,57,45,74,46,56
25132,31,42,71,35,55,41,70,38,66,33,61
25135,31,31,46,40,71,31,36,33,55,34,44
25138,27,,,,,,,,,34,42
25151,27,45,71,45,61,43,59,48,69,43,51
25165,31,,,42,50,46,56,42,48,,
25170,31,39,48,45,56,42,48,,,41,52
25172,31,32,38,36,49,32,38,29,36,30,33
25175,31,28,38,,,29,38,37,70,24,33
25176,31,41,71,,,,,,,,
25178,31,29,48,28,34,26,40,25,40,24,37
25180,31,23,28,,,21,23,23,33,28,53
25207,27,,,,,55,65,66,100,,
25283,31,26,30,32,50,22,24,26,36,24,26
27001,27,47,85,,,,,36,44,32,39
27003,27,,,52,62,,,56,64,61,77
27004,27,57,66,54,81,56,88,58,89,57,70
27005,27,48,53,53,81,49,60,57,60,55,65
27006,27,56,63,51,78,49,58,49,65,54,84
27007,27,55,88,,,,,52,60,,
27009,27,,,,,,,59,67,62,89
27010,27,59,69,59,71,55,78,58,68,60,69
27013,27,,,,,,,63,71,57,65
27014,27,38,48,40,71,37,51,,,41,48
27015,29,51,77,49,90,52,76,42,81,42,78
27016,29,,,53,78,51,64,54,62,,
27018,27,58,77,50,60,58,79,54,70,54,68
27019,29,,,58,66,56,66,57,61,55,60
27020,29,,,74,90,72,86,72,90,68,80
27021,27,56,76,51,64,,,54,65,,
27024,29,55,86,54,71,56,76,54,65,46,50
27025,27,,,,,,,41,51,,
27026,28,50,58,50,63,54,69,53,75,,
27027,28,66,107,67,86,65,79,68,94,67,83
27028,27,69,81,67,79,67,79,64,75,64,72
27029,27,43,75,,,,,58,66,58,67
27030,29,62,72,55,63,52,67,61,67,,
27031,29,53,60,56,71,57,64,57,74,,
27032,29,,,,,51,69,52,70,50,61
27033,27,50,60,51,61,50,60,49,58,49,63
27034,27,,,57,73,52,76,52,65,59,71
27035,27,56,67,54,59,52,62,51,60,53,61
27036,29,61,73,64,71,61,72,65,71,65,74
27037,28,,,58,67,51,72,58,67,57,67
27038,27,59,67,57,67,61,70,58,63,61,73
27039,28,54,62,59,86,54,69,52,58,57,84
27040,28,73,91,69,85,71,105,61,82,63,70
27041,28,64,98,63,98,65,100,61,78,61,75
27044,29,51,56,56,69,63,81,60,70,56,61
27046,29,52,67,58,68,56,67,54,62,52,60
27047,29,61,79,59,71,,,,,,
